name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,documentation
stftpitchshift,1.5.1,pip install stftpitchshift,2023-02-12,2023,1,2022-04-09,2022,https://pypi.org/project/stftpitchshift/,
molecule-plugins,23.5.0,pip install molecule-plugins,2023-08-03,2023,22.0.0,2023-01-05,2023,https://pypi.org/project/molecule-plugins/,
sagemaker-feature-store-pyspark-3.1,1.1.2,pip install sagemaker-feature-store-pyspark-3.1,2023-06-05,2023,1.1.0,2022-12-07,2022,https://pypi.org/project/sagemaker-feature-store-pyspark-3.1/,
gson,0.0.3,pip install gson,2022-11-18,2022,0.0.1,2022-07-26,2022,https://pypi.org/project/gson/,
capsulecorp,0.1.13,pip install capsulecorp,2023-08-16,2023,0.0.1,2023-02-14,2023,https://pypi.org/project/capsulecorp/,
jaxtyping,0.2.21,pip install jaxtyping,2023-08-17,2023,0.0.1,2022-07-11,2022,https://pypi.org/project/jaxtyping/,
tabcmd,2.0.12,pip install tabcmd,2023-07-28,2023,0.0.0,2022-06-17,2022,https://pypi.org/project/tabcmd/,
sqltrie,0.7.0,pip install sqltrie,2023-06-17,2023,0.0.1,2022-12-01,2022,https://pypi.org/project/sqltrie/,
tabpfn,0.1.9,pip install tabpfn,2023-04-17,2023,0.1,2022-10-11,2022,https://pypi.org/project/tabpfn/,
hierarchicalforecast,0.3.0,pip install hierarchicalforecast,2023-03-02,2023,0.0.1,2022-06-22,2022,https://pypi.org/project/hierarchicalforecast/,https://nixtla.github.io/hierarchicalforecast/
dvc-http,2.30.2,pip install dvc-http,2023-02-08,2023,0.0.1,2022-08-12,2022,https://pypi.org/project/dvc-http/,
idf-build-apps,1.1.2,pip install idf-build-apps,2023-08-16,2023,0.1.0a0,2022-07-06,2022,https://pypi.org/project/idf-build-apps/,
lycoris-lora,1.8.3,pip install lycoris-lora,2023-07-28,2023,0.0.1,2023-03-09,2023,https://pypi.org/project/lycoris-lora/,
deepdiff6,6.2.0,pip install deepdiff6,2022-09-04,2022,6.0.0,2022-08-14,2022,https://pypi.org/project/deepdiff6/,
datasetsforecast,0.0.8,pip install datasetsforecast,2023-03-14,2023,0.0.1,2022-06-21,2022,https://pypi.org/project/datasetsforecast/,
fschat,0.2.24,pip install fschat,2023-08-13,2023,0.1.1,2023-03-31,2023,https://pypi.org/project/fschat/,
types-tqdm,4.66.0.1,pip install types-tqdm,2023-08-11,2023,4.64.0,2022-07-05,2022,https://pypi.org/project/types-tqdm/,
dbus-fast,1.92.0,pip install dbus-fast,2023-08-18,2023,1.0.0,2022-09-09,2022,https://pypi.org/project/dbus-fast/,
tensorflow-cpu-aws,2.13.0,pip install tensorflow-cpu-aws,2023-07-05,2023,2.9.1,2022-05-31,2022,https://pypi.org/project/tensorflow-cpu-aws/,
gptcache,0.1.39.1,pip install gptcache,2023-08-15,2023,0.1.1,2023-04-01,2023,https://pypi.org/project/gptcache/,
lamindb,0.50.7,pip install lamindb,2023-08-17,2023,0.0.1,2022-04-15,2022,https://pypi.org/project/lamindb/,
bionty,0.30.1,pip install bionty,2023-08-17,2023,0.0.3,2022-04-05,2022,https://pypi.org/project/bionty/,
otel-extensions,0.2.5,pip install otel-extensions,2023-07-03,2023,0.0.1,2022-05-07,2022,https://pypi.org/project/otel-extensions/,
lamin_logger,0.8.2,pip install lamin_logger,2023-07-19,2023,0.1.0,2022-07-20,2022,https://pypi.org/project/lamin_logger/,
chroma-hnswlib,0.7.2,pip install chroma-hnswlib,2023-07-27,2023,0.7.0,2023-06-09,2023,https://pypi.org/project/chroma-hnswlib/,
jax-jumpy,1.0.0,pip install jax-jumpy,2023-03-17,2023,0.0.2,2022-09-19,2022,https://pypi.org/project/jax-jumpy/,
ai21,1.2.5,pip install ai21,2023-08-16,2023,0.0.1,2022-11-22,2022,https://pypi.org/project/ai21/,
lnschema_core,0.45.5,pip install lnschema_core,2023-08-17,2023,0.3.2,2022-08-19,2022,https://pypi.org/project/lnschema_core/,
flexgen,0.1.7,pip install flexgen,2023-03-01,2023,0.1.1,2023-02-26,2023,https://pypi.org/project/flexgen/,
image-reward,1.5,pip install image-reward,2023-07-11,2023,0.9,2023-04-08,2023,https://pypi.org/project/image-reward/,
dagster-cloud-cli,1.4.7,pip install dagster-cloud-cli,2023-08-18,2023,0.14.18rc3,2022-05-28,2022,https://pypi.org/project/dagster-cloud-cli/,
lnschema_bionty,0.29.6,pip install lnschema_bionty,2023-08-17,2023,0.2.0,2022-08-19,2022,https://pypi.org/project/lnschema_bionty/,
pdm-backend,2.1.5,pip install pdm-backend,2023-08-09,2023,0.0.0,2023-02-27,2023,https://pypi.org/project/pdm-backend/,
mmhash3,3.0.1,pip install mmhash3,2022-10-29,2022,3.0.0,2022-10-29,2022,https://pypi.org/project/mmhash3/,
prefect-snowflake,0.26.1,pip install prefect-snowflake,2023-02-10,2023,0.1.0,2022-05-13,2022,https://pypi.org/project/prefect-snowflake/,
sdkit,1.0.179,pip install sdkit,2023-08-21,2023,1.0.0,2022-12-23,2022,https://pypi.org/project/sdkit/,
lsprotocol,2023.0.0a2,pip install lsprotocol,2023-06-21,2023,2022.0.0a0,2022-07-13,2022,https://pypi.org/project/lsprotocol/,
