package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
gspread,3.4.2,,,,,,,,,6457040.0
gspread-dataframe,3.3.1,,,,,,,,,553887.0
gym,0.25.2,0.26.2,,,,,The OpenAI Gym: A toolkit for developing and comparing your reinforcement learning agents.,,PyPI,361045.0
gym-notices,0.0.8,0.0.8,,,,,,,,212308.0
h5netcdf,1.2.0,,,,,,,,,248981.0
h5py,3.9.0,3.9.0,,Read and write HDF5 files from Python,BSD-3-Clause,Anaconda,,,,12968376.0
holidays,0.30,0.24,,,,,Generate and work with holidays in Python,MIT,PyPI,5116891.0
holoviews,1.17.0,1.16.2,,Stop plotting your data - annotate your data and let it visualize itself.,BSD-3-Clause,Anaconda,,,,279046.0
html5lib,1.1,1.1,1.1,HTML parser based on the WHATWG HTML specification,MIT,Anaconda,,,,15901225.0
httpimport,1.3.1,,,,,,,,,
httplib2,0.22.0,0.21.0,0.20.2,,,,A comprehensive HTTP client library.,MIT,PyPI,28747783.0
humanize,4.7.0,4.7.0,,Python humanize utilities,MIT,Anaconda,,,,4256760.0
hyperopt,0.2.7,0.2.7,,,,,Distributed Asynchronous Hyperparameter Optimization,BSD,PyPI,1720158.0
idna,3.4,3.4,3.3,Internationalized Domain Names in Applications (IDNA).,BSD-3-Clause,Anaconda,,,,193995592.0
imageio,2.31.1,2.31.1,2.31.1,A Python library for reading and writing image data,BSD-2-Clause,Anaconda,,,,13927466.0
imageio-ffmpeg,0.4.8,,,,,,,,,850383.0
imagesize,1.4.1,,,Getting image size from png/jpeg/jpeg2000/gif file,MIT,Anaconda,,,,5763602.0
imbalanced-learn,0.10.1,0.10.1,,Python module to balance data set using under- and over-sampling,MIT,Anaconda,Toolbox for imbalanced dataset in machine learning.,MIT,PyPI,2747012.0
imgaug,0.4.0,0.4.0,0.4.0,,,,Image augmentation library for deep neural networks,MIT,PyPI,303261.0
importlib-metadata,6.8.0,6.8.0,4.6.4,A library to access the metadata for a Python package.,Apache-2.0,Anaconda,Read metadata from Python packages,Apache Software License,PyPI,138359023.0
importlib-resources,6.0.1,5.12.0,,,,,,,,53406246.0
imutils,0.5.4,,,,,,,,,281853.0
inflect,7.0.0,,,,,,,,,3159135.0
iniconfig,2.0.0,2.0.0,,iniconfig: brain-dead simple config-ini parsing,MIT,Anaconda,,,,41317031.0
intel-openmp,2023.2.0,,,Math library for Intel and compatible processors,LicenseRef-ProprietaryIntel,Anaconda,,,,344748.0
ipykernel,5.5.6,6.23.3,6.23.1,IPython Kernel for Jupyter,BSD-3-Clause,Anaconda,,,,15905585.0
